code,station,time,title
MHSC,Metal Heart Radio - Soft Channel,2022-02-04 16:00:33,Twilight Force - (07) Valley of the Vale
MH,Metal Heart Radio,2022-02-04 16:01:04,Trauma - I Am Universe
RB,Rádio Beat,2022-02-04 16:03:32,ALICE COOPER - SCHOOL'S OUT
MHSC,Metal Heart Radio - Soft Channel,2022-02-04 16:04:18,Dark Princess - (08) The Temple Of Darkness
RB,Rádio Beat,2022-02-04 16:07:02,MARILLION - WAITING TO HAPPEN
MH,Metal Heart Radio,2022-02-04 16:07:34,Timo Tolkki's Avalon - Promises feat Todd Michael Hall
MHSC,Metal Heart Radio - Soft Channel,2022-02-04 16:08:32,Deathstars - (10) Genocide
MHSC,Metal Heart Radio - Soft Channel,2022-02-04 16:12:02,Him - (09) Play Dead
MH,Metal Heart Radio,2022-02-04 16:12:18,Metal Heart Radio - Jingle
RB,Rádio Beat,2022-02-04 16:12:32,Radio BEAT - Classic Rock
MH,Metal Heart Radio,2022-02-04 16:12:33,Norther - Last Breath
RB,Rádio Beat,2022-02-04 16:13:31,KABAT - KALAMITY JANE
MHSC,Metal Heart Radio - Soft Channel,2022-02-04 16:16:33,Metalwings - (05) A Wish
RB,Rádio Beat,2022-02-04 16:16:48,Radio BEAT - Classic Rock
RB,Rádio Beat,2022-02-04 16:17:18,BEATLES - ACROSS THE UNIVERSE
MH,Metal Heart Radio,2022-02-04 16:17:34,Scorpions - When The Smoke Is Going Down
RB,Rádio Beat,2022-02-04 16:21:17,Radio BEAT - Classic Rock
MH,Metal Heart Radio,2022-02-04 16:21:18,"57 - LITA FORD (feat. Ozzy Osbourne) - Close My Eyes Forever [Lita, 1988]"
RB,Rádio Beat,2022-02-04 16:21:32,UFO - DOCTOR DOCTOR
MHSC,Metal Heart Radio - Soft Channel,2022-02-04 16:22:36,Hydria - (10) Sweet Dead Innocence
RB,Rádio Beat,2022-02-04 16:25:32,KISS - BETH
MH,Metal Heart Radio,2022-02-04 16:26:03,"67 - RAGE - Fortress [End Of All Days, 1996]"
MHSC,Metal Heart Radio - Soft Channel,2022-02-04 16:27:03,Fortaleza - (07) Luna Mia
RB,Rádio Beat,2022-02-04 16:28:33,Radio BEAT - Classic Rock
MH,Metal Heart Radio,2022-02-04 16:30:04,Metal Heart Radio - Metal Live CZ
MH,Metal Heart Radio,2022-02-04 16:30:19, - Ranní sprcha - spot
MH,Metal Heart Radio,2022-02-04 16:30:49,Metal Heart Radio - Jingle
MHSC,Metal Heart Radio - Soft Channel,2022-02-04 16:31:04,ALERG!E - (02) Vsechno je na prodej
MH,Metal Heart Radio,2022-02-04 16:31:05,King Diamond - Abigail
RB,Rádio Beat,2022-02-04 16:32:18,QUEEN - I WANT IT ALL
MHSC,Metal Heart Radio - Soft Channel,2022-02-04 16:34:04,Aeternitas - (10) Konig
MH,Metal Heart Radio,2022-02-04 16:35:49,Master's Hammer - Geniove ...
RB,Rádio Beat,2022-02-04 16:36:33,SPENCER DAVIS GROUP - GIMME SOME LOVIN'
MHSC,Metal Heart Radio - Soft Channel,2022-02-04 16:38:03,Midnattsol - (05) Herr Mannelig
RB,Rádio Beat,2022-02-04 16:39:17,CHAD KROEGER & JOSEY SCOTT - HERO
MH,Metal Heart Radio,2022-02-04 16:40:50,Anthrax - Madhouse
